Date,SPY,TLT,GLD,DBMF
2008-04-30,98.966347,53.472668,86.650002,20.814936
2008-05-01,101.013542,53.47617,83.989998,20.675582
2008-05-02,101.292725,52.801781,84.580002,20.814936
2008-05-05,100.805962,52.801781,86.269997,20.998294
2008-05-06,101.679253,52.421356,86.629997,21.020297
2008-05-07,99.868309,52.646111,85.82,21.0423
2008-05-08,99.610588,53.118767,87.239998,20.95429
2008-05-09,99.424446,53.314701,87.419998,20.968956
2008-05-12,100.541122,53.234016,86.989998,20.96162
2008-05-13,100.555389,52.651871,85.389999,21.100974
2008-05-14,100.763016,52.674934,85.199997,21.115642
2008-05-15,102.022835,53.153339,87.0,21.086306
2008-05-16,102.115898,52.934299,89.099998,21.122978
2008-05-19,102.39502,53.003513,89.389999,21.130311
2008-05-20,101.564682,53.280163,90.900002,21.210992
2008-05-21,99.846756,53.29166,91.959999,21.277002
2008-05-22,99.861061,52.663425,90.980003,21.328341
2008-05-23,98.522575,52.893948,91.230003,21.277002
2008-05-27,99.252663,52.536621,89.360001,21.277002
2008-05-28,99.710831,52.069717,89.139999,21.343007
2008-05-29,100.21183,51.69511,86.510002,21.291668
2008-05-30,100.462395,52.035164,87.449997,21.240326
2008-06-02,99.424446,52.235912,87.959999,21.210992
2008-06-03,98.844673,52.611916,86.879997,21.218325
2008-06-04,98.794563,52.14336,86.650002,21.130311
2008-06-05,100.770187,51.830967,86.449997,21.218325
2008-06-06,97.556213,52.502007,89.059998,21.365012
2008-06-09,97.792465,52.502007,87.989998,21.284335
2008-06-10,97.30574,52.160683,85.550003,21.262329
2008-06-11,95.874107,52.039234,87.019997,21.240326
2008-06-12,96.239128,51.518574,85.599998,21.328341
2008-06-13,97.456024,51.408691,85.830002,21.196324
2008-06-16,97.513275,51.420235,87.010002,21.166986
2008-06-17,97.040871,51.524342,87.25,21.108307
2008-06-18,96.096016,51.958206,88.279999,21.122978
2008-06-19,96.217705,51.651649,88.419998,21.0423
2008-06-20,94.655937,51.952465,88.949997,21.108307
2008-06-23,94.562408,52.062332,87.089996,21.203657
2008-06-24,94.375366,52.409447,87.470001,21.210992
2008-06-25,94.821411,52.432564,87.419998,21.071634
2008-06-26,92.245979,52.785461,90.610001,21.005627
2008-06-27,91.742462,53.404427,91.470001,20.998294
2008-06-30,92.066177,53.416,91.400002,21.064299
2008-07-01,92.353912,53.289406,92.660004,21.020297
2008-07-02,90.771286,53.568092,93.169998,21.020297
2008-07-03,90.864777,53.451923,92.059998,20.968956
2008-07-07,89.936798,53.695797,91.230003,20.814936
2008-07-08,91.533783,54.044109,90.860001,20.594904
2008-07-09,89.771317,54.282166,91.5,20.638909
2008-07-10,90.138237,54.276375,93.529999,20.807596
2008-07-11,89.087921,53.504246,95.160004,20.858942
2008-07-14,88.282227,53.974464,95.910004,20.844274
2008-07-15,87.037697,53.95705,96.169998,20.602235
2008-07-16,89.174263,52.981739,94.440002,20.477551
2008-07-17,90.066269,52.708885,94.220001,20.257526
2008-07-18,90.627411,52.511467,94.169998,20.154837
2008-07-21,90.677773,52.714619,95.120003,20.169512
2008-07-22,91.706467,52.453438,93.059998,20.00082
2008-07-23,92.20282,52.348907,90.57,19.817462
2008-07-24,90.289284,52.859798,91.330002,19.780786
2008-07-25,90.267708,52.331509,91.690002,19.758789
2008-07-28,88.944069,52.859798,91.730003,19.817462
2008-07-29,90.843193,52.644958,90.589996,19.714775
2008-07-30,92.461815,52.69722,89.519997,19.832132
2008-07-31,91.238876,53.219765,90.080002,19.810129
2008-08-01,90.756889,53.33746,89.57,19.729447
2008-08-04,89.915222,53.215057,88.139999,19.531417
2008-08-05,92.339531,52.818871,86.080002,19.362729
2008-08-06,92.749565,52.603268,86.639999,19.487415
2008-08-07,91.368347,53.459808,86.089996,19.384732
2008-08-08,93.066071,53.605518,84.43,19.546089
2008-08-11,94.030029,53.092762,81.129997,19.55342
2008-08-12,93.051689,53.587978,80.519997,19.531417
2008-08-13,92.490585,53.401554,81.559998,19.289384
2008-08-14,93.18837,53.745316,79.349998,19.267381
2008-08-15,93.641579,54.211437,77.629997,19.480082
2008-08-18,92.361099,54.427021,78.800003,19.326058
2008-08-19,91.353943,54.217258,80.43,19.274718
2008-08-20,91.778404,54.368805,80.059998,19.216042
2008-08-21,91.936661,54.269688,82.300003,18.988675
2008-08-22,93.267517,54.234734,81.080002,19.106024
2008-08-25,91.375542,54.776649,80.93,19.084025
2008-08-26,91.641708,54.823265,81.230003,19.084025
2008-08-27,92.533768,54.916492,81.360001,19.106024
2008-08-28,93.655998,54.922333,82.18,19.172036
2008-08-29,92.648827,54.677586,81.709999,19.150035
2008-09-02,92.073334,55.186321,79.199997,19.260048
2008-09-03,91.994232,55.420258,78.889999,19.282053
2008-09-04,89.224617,55.864719,78.389999,19.274718
2008-09-05,89.505157,55.835457,78.980003,19.465409
2008-09-08,91.353943,56.069359,78.860001,19.546089
2008-09-09,88.641891,56.624924,76.489998,19.597428
2008-09-10,89.001595,56.27401,74.220001,19.714775
2008-09-11,90.289284,56.244835,73.080002,19.729447
2008-09-12,90.706505,55.51965,75.550003,19.50942
